"Date","Nautical.Twilight.Start","Nautical.Twilight.End"
"Nov 20 2020","6:33","17:52"
"Nov 21 2020","6:34","17:51"
"Nov 22 2020","6:35","17:51"
"Nov 23 2020","6:37","17:50"
"Nov 24 2020","6:38","17:49"
"Nov 25 2020","6:39","17:49"
"Nov 26 2020","6:41","17:48"
"Nov 27 2020","6:42","17:47"
"Nov 28 2020","6:43","17:47"
"Nov 29 2020","6:44","17:46"
"Nov 30 2020","6:45","17:46"
"Dec  1 2020","6:46","17:46"
"Dec  2 2020","6:48","17:45"
"Dec  3 2020","6:49","17:45"
"Dec  4 2020","6:50","17:45"
"Dec  5 2020","6:51","17:45"
"Dec  6 2020","6:52","17:44"
"Dec  7 2020","6:53","17:44"
"Dec  8 2020","6:54","17:44"
"Dec  9 2020","6:55","17:44"
"Dec 10 2020","6:56","17:44"
"Dec 11 2020","6:57","17:44"
"Dec 12 2020","6:57","17:44"
"Dec 13 2020","6:58","17:45"
"Dec 14 2020","6:59","17:45"
"Dec 15 2020","7:00","17:45"
"Dec 16 2020","7:00","17:45"
"Dec 17 2020","7:01","17:46"
"Dec 18 2020","7:02","17:46"
"Dec 19 2020","7:02","17:46"
"Dec 20 2020","7:03","17:47"
"Dec 21 2020","7:03","17:47"
"Dec 22 2020","7:04","17:48"
"Dec 23 2020","7:04","17:49"
"Dec 24 2020","7:05","17:49"
"Dec 25 2020","7:05","17:50"
"Dec 26 2020","7:05","17:50"
"Dec 27 2020","7:06","17:51"
"Dec 28 2020","7:06","17:52"
"Dec 29 2020","7:06","17:53"
"Dec 30 2020","7:06","17:54"
"Dec 31 2020","7:06","17:55"
